"id","age","checking_status","class","credit_amount","duration","employment","existing_credits","feat01","feat02","feat03","feat04","feat05","feat06","feat07","feat08","feat09","feat10","foreign_worker","installment_commitment","job","num_dependents","own_telephone","residence_since","savings_status","sex","credit_history_critical/other existing credit","credit_history_delayed previously","credit_history_existing paid","credit_history_no credits/all paid","housing_own","housing_rent","other_parties_guarantor","other_parties_none","other_payment_plans_none","other_payment_plans_stores","property_magnitude_life insurance","property_magnitude_no known property","property_magnitude_real estate","purpose_domestic appliance","purpose_education","purpose_furniture/equipment","purpose_new car","purpose_other","purpose_radio/tv","purpose_repairs","purpose_retraining","purpose_used car","marital_status_div/sep","marital_status_mar/wid","marital_status_single"
1,50,1,1,2319,21,5,2,0.239898427777527,0.614230201893407,1.30965862071834,0.976445725829849,0.709971715870983,0.569709628457905,0.950835109641912,0.581458166118791,0.780483071227754,0.483015696018176,1,4,3,1,0,2,2,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2,30,1,1,1163,15,4,2,0.521138563751193,0.790471538986454,1.45273700911558,1.20022874212186,1.20288254501688,0.957487791565732,0.51497103901772,1.17996907120879,1.13801920623889,0.327573296145952,1,3,3,1,0,2,5,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,32,1,1,1502,10,5,2,0.286838158882139,0.541755529470495,0.957340427473558,0.855903780877408,0.544296092423984,1.14031877778646,1.03890587833506,1.49729344631294,1.13053624280945,0.481873666828056,0,3,2,2,0,4,2,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,34,1,1,4436,36,3,2,0.430936828095684,0.531140360678425,0.941830194191849,1.16364697749897,1.17048990143294,1.33919499029396,0.979320450053936,0.532072009401283,1.08462820896793,0.630283769146618,1,4,3,1,0,4,2,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5,21,1,1,10155,60,4,1,0.439642970648386,0.602667186372227,1.10855594852919,0.763794466754279,1.02532501042252,0.633542735116505,0.845509582442693,1.03995477567891,1.25619895907927,0.51801225827875,1,2,3,1,1,4,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6,25,1,1,3413,24,2,2,0.429684210744132,0.586525934558065,0.633762851460987,1.03582167166698,0.660274043853986,0.792228309380476,0.951895316987315,1.33463873911389,0.76889374304285,0.401251568287007,1,4,3,1,0,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,36,3,1,2235,24,5,1,0.338624660209241,0.584340922440606,0.691583941180865,1.19890516992345,1.43020491264601,0.716408787631709,1.11020381269445,1.54712157734911,1.40942502570117,0.632783187158175,1,4,3,1,1,4,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
8,25,2,1,3555,18,4,1,0.633843593894053,0.493861342568468,1.16188067535167,1.39677880401489,1.50814524675311,0.439001895114596,0.544151914673432,0.579731657398286,1.15199428985235,0.407195823473061,1,4,3,1,0,1,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,21,1,1,1805,6,3,1,0.601777378487194,0.467685784675425,1.10931276198329,1.24280515662991,1.20659735725952,0.975846947454546,1.25518754100301,1.52765131392246,1.3524363965548,0.610363510708417,1,1,3,1,0,2,2,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10,36,3,1,2756,36,5,1,0.552575325107619,0.569346676983085,1.12941803222807,0.357105007185251,1.54777214954178,1.40424940764927,0.843165374987435,1.31718846958699,0.967642123385406,0.487435571807742,1,4,3,1,0,4,2,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
11,32,1,1,1617,18,3,1,0.625625682242312,0.64449139348469,0.938017743748518,0.985322793771974,1.34427381130332,1.05434931464453,1.32924735404093,1.40746914051846,1.14510410885204,0.581451944617808,1,4,4,1,1,2,2,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
12,44,1,0,5969,24,2,2,0.330641151306318,0.742314040380446,1.38208285845187,0.562992067725045,1.13600534881591,1.25016798225926,1.46291032574326,1.01491483815437,1.33517324633544,0.371212340394613,1,1,3,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,21,1,1,15824,60,4,2,0.253096362205859,0.595797228823551,1.1643141786105,0.751932763052218,0.908681071899767,0.774386686935955,0.922293805161941,0.760692935761682,1.17791563489403,0.445077361978472,1,2,3,1,1,4,2,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,61,1,1,1695,12,4,1,0.608948224212719,0.573088981179819,1.46650894031701,1.42773820262673,0.767981603528831,0.605632850287795,1.04587293629532,1.39573812995386,1.04100127459693,0.35308932555176,1,4,3,1,0,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,40,1,1,1700,24,4,2,0.501248013869831,0.539362800545395,0.693827745437499,1.0924134844261,0.531194292683167,0.858880706842631,0.649248087760088,0.793062735214492,0.862997720150963,0.544821116244552,1,4,3,1,0,3,2,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
17,23,3,1,1410,15,2,1,0.287950768880816,0.684011692873497,1.22787723492937,1.60846776213319,1.25336979281803,0.653239547148187,1.28491301214516,0.681118537860164,1.03980000491646,0.35229098228399,1,4,3,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18,24,2,1,1835,24,2,1,0.380798442332888,0.476634985520923,0.954283359349505,1.27376143112738,0.93405114335168,1.60672196083701,0.839316414263434,1.30792589784412,0.655474402941637,0.238108798577604,0,4,2,1,0,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,23,1,1,2552,21,2,1,0.396498544520347,0.570290742636338,1.14718815340019,0.506635955532496,0.91373017746697,0.622458483061268,0.914977187357066,1.00855969701804,1.16692846636297,0.690768932759132,1,4,3,1,1,4,2,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,40,1,1,1490,24,4,2,0.718715573880126,0.594658087666998,0.458735492829356,1.11845097472697,0.822003042759171,1.01257179130379,0.609951968311303,0.695964054743924,0.371739702492868,0.50990579352267,1,4,3,1,0,3,2,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
23,28,2,1,3477,24,3,1,0.274527679358474,0.612981815666286,1.34141071960689,1.32403971701537,1.00294236184233,0.779001519237294,1.05384104646872,1.05082278525361,1.64954671059173,0.220830157973903,1,2,3,1,0,4,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,50,3,0,2781,36,3,1,0.574126361890478,0.457115409426595,1.256242393522,0.546036874743876,1.02780791426065,0.779898341418083,0.654304669017626,0.414554655707957,1.61213377860189,0.820860823789125,1,4,3,1,0,4,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28,38,3,1,1254,15,5,2,0.56957590923244,0.473181544735624,1.47761689773415,0.356198236620617,0.616068564813668,1.21064839804089,0.683276681258814,1.09627134414405,0.774472249803268,0.59462694315547,1,4,2,1,0,4,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
