"","x"
"1","checking_status"
"2","feat02"
"3","duration"
"4","credit_amount"
"5","feat01"
"6","feat10"
"7","credit_history_critical.other.existing.credit"
"8","age"
"9","savings_status"
"10","employment"
"11","property_magnitude_real.estate"
"12","other_payment_plans_none"
"13","installment_commitment"
"14","property_magnitude_no.known.property"
"15","credit_history_no.credits.all.paid"
"16","housing_own"
"17","credit_history_existing.paid"
"18","purpose_education"
"19","purpose_radio.tv"
"20","residence_since"
"21","existing_credits"
"22","other_payment_plans_stores"
"23","purpose_new.car"
"24","own_telephone"
"25","other_parties_guarantor"
"26","job"
"27","credit_history_delayed.previously"
"28","housing_rent"
"29","other_parties_none"
"30","purpose_used.car"
"31","sex"
"32","marital_status_single"
"33","marital_status_div.sep"
"34","num_dependents"
"35","marital_status_mar.wid"
